brand,collection,sales_revenue,total_variable_cost,contribution_margin_perc,contribution_margin
Jeffrey Alexander,Rhodes,7649603.11,7046246.671766824,0.07887421472160228,603356.4382331762
Jeffrey Alexander,Rochester,413005.31,1022116.6476009013,-1.474826891695173,-609111.3376009013
Jeffrey Alexander,Royce,1240986.49,1137673.639435422,0.0832505844318886,103312.85056457808
Jeffrey Alexander,Solana,2109541.03,1926760.8511571104,0.08664452420860924,182780.17884288938
Jeffrey Alexander,Sonoma,5214194.2299999995,4774203.851015264,0.0843831970150325,439990.37898473535
Jeffrey Alexander,Sutton,3866405.82,3525354.1464255783,0.08820896963537617,341051.67357442155
Jeffrey Alexander,Symphony,1522518.43,1369203.0514865115,0.10069853703740617,153315.37851348845
Jeffrey Alexander,Tahoe,6572300.34,6133530.176870386,0.06676051617105705,438770.16312961373
Jeffrey Alexander,Tiffany,11807611.28,10827066.584091676,0.0830434431364786,980544.6959083229
Jeffrey Alexander,Tuscany,2663296.9299999997,2464047.6603028723,0.0748130136946944,199249.2696971274
Jeffrey Alexander,Valencia,727143.79,672102.7096465138,0.07569490534119283,55041.080353486235
Jeffrey Alexander,Venezia,1279417.27,1186675.5399145938,0.07248747711949066,92741.73008540622
Jeffrey Alexander,West,1963520.02,1813585.1892501067,0.07636022511748741,149934.83074989333
Jeffrey Alexander,Zane,6152566.75,5602064.6311874315,0.08947519648000057,550502.1188125685
Jeffrey Alexander,Zurich,1777438.41,1631302.4895129972,0.08221715006541508,146135.9204870027
